Timestamp,Gender,Career stage / position,Are you a wet or dry lab person?,Which industry do you work in?,In which country do you live/work?,R experience: How long have you been using R? ,Do you use base R or tidyverse? [Base R],Do you use base R or tidyverse? [Tidyverse],Bioconductor experience: How long have you been using Bioconductor? ,Is R/Bioconductor your primary analysis tool?,"What other programming languages do you use? (e.g. C, JavaScript, MATLAB, Python, ...)","What other biological software projects do you use? (e.g. Bioconda, Biopython, Galaxy, ...)",What types of data do you analyze using Bioconductor?,What is your primary tool for interacting with R/Bioconductor?,Which of the following do you do?,What barriers are there to contributing your package to Bioconductor?,Where do you go to get help on Bioconductor package use?,Please consider some specific aspects of Bioconductor. How satisfied are you with ... [Guide to Scale: 1 = Very Dissatisfied; 2 = Dissatisfied; 3 = OK; 4 = Satisfied; 5 = Very Satisfied] [Bioconductor's website],Please consider some specific aspects of Bioconductor. How satisfied are you with ... [Guide to Scale: 1 = Very Dissatisfied; 2 = Dissatisfied; 3 = OK; 4 = Satisfied; 5 = Very Satisfied] [Bioconductor's support site],Please consider some specific aspects of Bioconductor. How satisfied are you with ... [Guide to Scale: 1 = Very Dissatisfied; 2 = Dissatisfied; 3 = OK; 4 = Satisfied; 5 = Very Satisfied] [Bioconductor's package documentation],Please consider some specific aspects of Bioconductor. How satisfied are you with ... [Guide to Scale: 1 = Very Dissatisfied; 2 = Dissatisfied; 3 = OK; 4 = Satisfied; 5 = Very Satisfied] [Ease of use of Bioconductor packages],Please consider some specific aspects of Bioconductor. How satisfied are you with ... [Guide to Scale: 1 = Very Dissatisfied; 2 = Dissatisfied; 3 = OK; 4 = Satisfied; 5 = Very Satisfied] [Quality of Bioconductor packages],Please consider some specific aspects of Bioconductor. How satisfied are you with ... [Guide to Scale: 1 = Very Dissatisfied; 2 = Dissatisfied; 3 = OK; 4 = Satisfied; 5 = Very Satisfied] [Breadth of Bioconductor packages],Please consider some specific aspects of Bioconductor. How satisfied are you with ... [Guide to Scale: 1 = Very Dissatisfied; 2 = Dissatisfied; 3 = OK; 4 = Satisfied; 5 = Very Satisfied] [Bioconductor core classes and packages],Please consider some specific aspects of Bioconductor. How satisfied are you with ... [Guide to Scale: 1 = Very Dissatisfied; 2 = Dissatisfied; 3 = OK; 4 = Satisfied; 5 = Very Satisfied] [Bioconductor training material],Please consider some specific aspects of Bioconductor. How satisfied are you with ... [Guide to Scale: 1 = Very Dissatisfied; 2 = Dissatisfied; 3 = OK; 4 = Satisfied; 5 = Very Satisfied] [Bioconductor annotation resources],Please consider some specific aspects of Bioconductor. How satisfied are you with ... [Guide to Scale: 1 = Very Dissatisfied; 2 = Dissatisfied; 3 = OK; 4 = Satisfied; 5 = Very Satisfied] [Interactive R/Shiny],Please consider some specific aspects of Bioconductor. How satisfied are you with ... [Guide to Scale: 1 = Very Dissatisfied; 2 = Dissatisfied; 3 = OK; 4 = Satisfied; 5 = Very Satisfied] [Data Visualization ],Please consider some specific aspects of Bioconductor. How satisfied are you with ... [Guide to Scale: 1 = Very Dissatisfied; 2 = Dissatisfied; 3 = OK; 4 = Satisfied; 5 = Very Satisfied] [Bioconductor GitHub repository],Please consider some specific aspects of Bioconductor. How satisfied are you with ... [Guide to Scale: 1 = Very Dissatisfied; 2 = Dissatisfied; 3 = OK; 4 = Satisfied; 5 = Very Satisfied] [Bioconductor F1000 workflows],Please consider some specific aspects of Bioconductor. How satisfied are you with ... [Guide to Scale: 1 = Very Dissatisfied; 2 = Dissatisfied; 3 = OK; 4 = Satisfied; 5 = Very Satisfied] [Package submission and review process],Please consider some specific aspects of Bioconductor. How satisfied are you with ... [Guide to Scale: 1 = Very Dissatisfied; 2 = Dissatisfied; 3 = OK; 4 = Satisfied; 5 = Very Satisfied] [Overall satisfaction with Bioconductor],"Please tell us about your experience with Bioconductor annotation resources (e.g. annotation packages, biomaRt, AnnotationHub, ...)",Please tell us about your experience with Bioconductor ExperimentHub,Which Bioconductor packages do you use most frequently?,What are the best aspects of Bioconductor?,What are the worst aspects of Bioconductor?,Do you have suggestions for new activities to benefit the user or developer community?,What analysis would you like to do in Bioconductor but currently cannot?,"Is there anything else you'd like to tell us? (e.g. future vision for Bioconductor, ...)"
7/11/2019 23:02:20,Male,Senior faculty,Dry,Academia / University,germany,> 10 years,Frequent user,Frequent user,> 10 years,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/4/2019 2:06:39,Male,Industry scientist,Dry lab,Pharmaceutical,United States,5 - 10 years,Frequent user,Rare user,5 - 10 years,Yes,C++,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/4/2019 2:23:46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/7/2019 12:07:44,Male,PhD student,Dry lab,Academia / University,Australia,2 - 5 years,Frequent user,Rare user,2 - 5 years,Yes,,Bioconda,"RNA sequencing (bulk), Microarray",RStudio,"I use functions from R packages to analyze data, I write R functions for use by myself or my collaborators, I have written my own R / Bioconductor package that is shared on GitHub or similar, I have written my own R / Bioconductor package and released it via Bioconductor","For a first time developer, information required to successfully develop and submit a package is very scattered. It would be great to have a single document that shows a step-wise workflow of how to develop and submit a Bioconductor package.",Documentations,5,Not Applicable / Rarely use,5,4,5,3,Not Applicable / Rarely use,Not Applicable / Rarely use,Not Applicable / Rarely use,5,5,Not Applicable / Rarely use,5,5,5,I haven't had any problems so far. ,I have no idea on how to use this. I haven't found enough resources showing their usage nor enough publicity to have been made aware of them.,"edgeR, SummarizedExperiment","It's a great dependency manager, coding standards are pretty helpful to ensure developers can make the most of other packages",,,Image analysis,
10/7/2019 12:29:19,Male,Experimental officcer,Dry lab,Academia / University,United Kingdom,> 10 years,Frequent user,Sometimes user,5 - 10 years,Yes,Python,Bioconda,Metabolomics,"Command line, RStudio","I write R functions for use by myself or my collaborators, I contribute to R packages (on CRAN, Bioconductor or elsewhere), I have written my own R / Bioconductor package that is shared on GitHub or similar","Guidelines are not easy to fullfil after I had looked at several messages bat the bioc-devel messages and package submission reviews on GitHub, it's obvious that reviewers are requesting changes which often are against guidelines or structure of bioconductor standard classes and tools.
Some of thd ""standardised"" Bioconductor infrastructure tools and classes are unnecessary complicated and instead of making data processing better make tools to be more prone for ert.
Automated build systems very often are failing and giving random unreproducible fault reports which quite often are related to bugs in syst configuration or Bioconductor infrastructure tools.",Vignettes,5,4,5,4,2,2,1,3,3,1,1,4,3,1,2,Don't use,Don't use,Xcms,Centralised repository of R packages for bioinformatics,"Complicated infrastructure classes. Unnecessary limiting code guidelines. E.g. 50 line function length, ignoring power of R core functionality.",Don't require all new packagws to use bioconductor infrastructure tools if there is no need.,N/A,No
10/7/2019 12:30:48,Male,PhD Student,Both,Academia / University,United States,2 - 5 years,Frequent user,Sometimes user,2 - 5 years,Yes,Python,"Bioconda, Biopython","RNA sequencing (bulk), DNA sequencing (whole genome, exome / targeted), Single cell genomics, Microarray","RStudio, Jupyter lab (via SoS for multi-kernel support).","I use functions from R packages to analyze data, I write R functions for use by myself or my collaborators, I contribute to R packages (on CRAN, Bioconductor or elsewhere), I have written my own R / Bioconductor package that is shared on GitHub or similar","The S4 requirements would require a significant rework, and it utilizes non-CRAN/Bioconductor packages.","Reference pages, vignettes, biostars, slack groups (including Bioconductor), and the forum as an absolute last resort.",3,3,4,3,4,5,3,2,4,Not Applicable / Rarely use,5,Not Applicable / Rarely use,4,Not Applicable / Rarely use,4,"biomaRt is great, use it all the time. Same for the annotation packages.","It's got a wonky submission process - needs to be streamlined. An end to end example might be helpful, as it's not immediately clear how the submission documents will be vetted or how explicit you need to be when showing how data is prepared.","DESeq2, chipSeeker, DiffBind, ChIPQC, biomaRt, ",The community. People generally want to help you use their package effectively.,"The community. People can be dismissive of non-Bioconductor packages for seemingly no reason. New contributors may not find themselves up to snuff for many Bioc devs - code reviews can be harsh. It's not a place many beginner-intermediate R users will be tempted to try to contribute to. This isn't really a Bioconductor thing though, more just a result of many of the devs contributing to it being experts and having high standards (which isn't a bad thing). ",,,
10/7/2019 12:38:23,male,asst prof,Both,Academia / University,USA,> 10 years,Frequent user,Sometimes user,> 10 years,Yes,"C, C++, Python, JavaScript, Julia (sometimes)","scanpy, scvelo, samtools, htslib, kallisto, bustools","RNA sequencing (bulk), DNA sequencing (whole genome, exome / targeted), Methylation, Single cell genomics, Metabolomics, Microarray, FACS, CRISPR","Command line, vim+vimcom","I use functions from R packages to analyze data, I write R functions for use by myself or my collaborators, I contribute to R packages (on CRAN, Bioconductor or elsewhere), I have written my own R / Bioconductor package that is shared on GitHub or similar, I have written my own R package and released it via CRAN, I have written my own R / Bioconductor package and released it via Bioconductor",none,harass Martin or Herve or Aaron or Michael or Lori on bioc-devel or similar,4,4,5,5,5,5,5,5,4,3,5,5,5,4,5,was once stupid enough to maintain a db0 package *and* GenomicFeatures pkg,"relatively new to it, like the idea","SingleCellExperiment, RaggedExperiment, MultiAssayExperiment, MOFA, bsseq",the community,the density of the documentation (probably unavoidable given BioC's breadth),not sure -- hackathons seem like just a way to amortize bad technical debt ,"RNA velocity, PAGA",some sort of SimpleBioC intro to the core classes & workflows would be neat
10/7/2019 13:33:31,Male,early-career,Dry lab,Academia / University,USA,5 - 10 years,Frequent user,Rare user,2 - 5 years,Yes,,Terra,"RNA sequencing (bulk), Methylation","RStudio, VIM","I use functions from R packages to analyze data, I write R functions for use by myself or my collaborators, I contribute to R packages (on CRAN, Bioconductor or elsewhere), I have written my own R / Bioconductor package, but its not publicly available, I have written my own R / Bioconductor package that is shared on GitHub or similar, I have written my own R / Bioconductor package and released it via Bioconductor","Strict dependencies, i.e., I can't depend on GitHub packages for a Bioconductor package",co-workers,2,3,4,3,5,5,5,Not Applicable / Rarely use,Not Applicable / Rarely use,Not Applicable / Rarely use,4,1,Not Applicable / Rarely use,4,5,I have very little experience with those.,ExperimentHub is a bit clunky from the dev point-of-view. I would like my data input process to be more streamlined. That means not having an intermediate person updating the EH resources manually. ,"GenomicRanges, S4Vectors, BiocGenerics, MultiAssayExperiment",The Bioconductor community is great. I enjoy being able to identify with a group of like-minded individuals.,The website and the sheer number of classes to keep track of. The website does not allow discover-ability of classes or generics. I also can't see the source code for a package on the Bioconductor website. This would be pretty convenient. ,"Hack-a-thons, community retreats (un-conf), Bioconductor softball tournament! ",I would like to access data on Google Big Query / Table programmatically. It's still an area I need to get familiar with. ,"My major concern for the project is sustainability. If the project is to continue, I would hope that it looks past current funding mechanisms and finds alternate revenue streams. For example, Bioconductor can very well provide professional services such as consulting, package / code review, analysis at a cost to companies and individuals. "
10/7/2019 14:31:36,Female,Faculty (tenure-track),Dry lab,Academia / University,USA,5 - 10 years,Frequent user,Frequent user,5 - 10 years,Yes,Python,,"RNA sequencing (bulk), Methylation, Single cell genomics","Command line, RGui, RStudio","I use functions from R packages to analyze data, I write R functions for use by myself or my collaborators, I contribute to R packages (on CRAN, Bioconductor or elsewhere), I have written my own R / Bioconductor package that is shared on GitHub or similar, I have written my own R / Bioconductor package and released it via Bioconductor",,,2,4,3,3,5,2,2,1,2,4,4,3,4,5,4,,,,,,,,
10/7/2019 16:06:11,Male,Professor,Dry lab,Academia / University,Germany,> 10 years,Frequent user,Rare user,> 10 years,Yes,Python,,"RNA sequencing (bulk), Metabolomics, Microarray",RStudio,"I use functions from R packages to analyze data, I write R functions for use by myself or my collaborators, I have written my own R / Bioconductor package that is shared on GitHub or similar, I have written my own R package and released it via CRAN, I have written my own R / Bioconductor package and released it via Bioconductor",None,"Man pages, vignettes, web",4,3,4,4,4,4,4,4,4,3,4,3,3,4,4,work well,,"affy, lumi, beadarray, complexHeatmaps, vsn",,,,,
